horse,horseLabel,mother,father,birthyear,deathyear,genderLabel
http://www.wikidata.org/entity/Q7548189,Snow Bride,http://www.wikidata.org/entity/Q16826417,http://www.wikidata.org/entity/Q2907399,1986,,female organism
http://www.wikidata.org/entity/Q7548199,Snow Chief,,,1983,2010,male organism
http://www.wikidata.org/entity/Q7548226,Snow Fairy,,http://www.wikidata.org/entity/Q11287578,2007,,female organism
http://www.wikidata.org/entity/Q7548260,Snow Knight,http://www.wikidata.org/entity/Q61998778,http://www.wikidata.org/entity/Q61998657,1971,,male organism
http://www.wikidata.org/entity/Q7548346,Snow White,,,2005,2009,female organism
http://www.wikidata.org/entity/Q7548865,Snurge,,http://www.wikidata.org/entity/Q5352537,1987,2006,male organism
http://www.wikidata.org/entity/Q7549054,So Casual,,,1995,,
http://www.wikidata.org/entity/Q7549629,So You Think,,http://www.wikidata.org/entity/Q5755028,2006,,male organism
http://www.wikidata.org/entity/Q7549863,Soaring Free,,http://www.wikidata.org/entity/Q6145306,1999,,
http://www.wikidata.org/entity/Q7549866,Soaring Softly,,http://www.wikidata.org/entity/Q6437279,1995,,female organism
http://www.wikidata.org/entity/Q7552039,Society Rock,,http://www.wikidata.org/entity/Q1005232,2007,,male organism
http://www.wikidata.org/entity/Q7557028,Solario,http://www.wikidata.org/entity/Q61986062,http://www.wikidata.org/entity/Q5517294,1922,,male organism
http://www.wikidata.org/entity/Q7557207,Soldat,,http://www.wikidata.org/entity/Q18148153,2008,,male organism
http://www.wikidata.org/entity/Q7557336,Soldier of Fortune,,http://www.wikidata.org/entity/Q3094737,2004,,male organism
http://www.wikidata.org/entity/Q7557579,Solemia,,,2008,,female organism
http://www.wikidata.org/entity/Q75582294,Nobylis,,,2001,,male organism
http://www.wikidata.org/entity/Q75594605,Mister Davier,,,2000,,male organism
http://www.wikidata.org/entity/Q7560283,Somethingroyal,http://www.wikidata.org/entity/Q6006267,http://www.wikidata.org/entity/Q7244431,1952,1983,female organism
http://www.wikidata.org/entity/Q7560490,Somnus,,http://www.wikidata.org/entity/Q11331695,2000,,
http://www.wikidata.org/entity/Q7560561,Son-in-Law,http://www.wikidata.org/entity/Q55071755,http://www.wikidata.org/entity/Q1166219,1911,1941,male organism
http://www.wikidata.org/entity/Q7560627,Son of Briartic,,,1979,,male organism
http://www.wikidata.org/entity/Q7562027,Sonny Dee Bar,,,,,
http://www.wikidata.org/entity/Q7562778,Soothsayer,http://www.wikidata.org/entity/Q61978865,http://www.wikidata.org/entity/Q7563356,1808,,male organism
http://www.wikidata.org/entity/Q7563356,Sorcerer,http://www.wikidata.org/entity/Q8058135,http://www.wikidata.org/entity/Q11321911,1796,,male organism
http://www.wikidata.org/entity/Q7563369,Sorcery,http://www.wikidata.org/entity/Q62015578,http://www.wikidata.org/entity/Q7563356,1808,,female organism
http://www.wikidata.org/entity/Q7569964,Southern Halo,,http://www.wikidata.org/entity/Q5643313,1983,,male organism
http://www.wikidata.org/entity/Q7570029,Southern Image,,,2000,,male organism
http://www.wikidata.org/entity/Q7570104,Southern Maid,,http://www.wikidata.org/entity/Q7202876,1911,,female organism
http://www.wikidata.org/entity/Q7571542,Souverain,,,1943,,male organism
http://www.wikidata.org/entity/Q7571594,Sovereign Dancer,,http://www.wikidata.org/entity/Q1969034,1975,,male organism
http://www.wikidata.org/entity/Q7572851,Spain,,http://www.wikidata.org/entity/Q11305671,1997,,female organism
http://www.wikidata.org/entity/Q7573112,Spaniel,,http://www.wikidata.org/entity/Q11251240,1828,,male organism
http://www.wikidata.org/entity/Q7573245,Spanish Moon,,http://www.wikidata.org/entity/Q5351892,2004,,
http://www.wikidata.org/entity/Q7573621,Spark,,,1743,,male organism
http://www.wikidata.org/entity/Q7574198,Speak John,,http://www.wikidata.org/entity/Q7244105,1958,,male organism
